Date,Price,Ticker,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price
,NVDA,,AAPL,PAM,GOOG,AMZN,TSLA,MSTR,SPY,SPOT,QQQ,KO,DIA,META,BRK-B,PLTR,PEP,GGAL,HUT,COIN,MRVL,PFE,AVGO,YPF
2024-11-18,,PAM,,80.0199966430664,,,,,,,,,,,,,,,,,,,,
2024-11-18,,PEP,,,,,,,,,,,,,,,153.92835998535156,,,,,,,
2024-11-18,,PFE,,,,,,,,,,,,,,,,,,,,23.997882843017578,,
2024-11-18,,PLTR,,,,,,,,,,,,,,61.2599983215332,,,,,,,,
2024-11-18,,QQQ,,,,,,,,,497.9124450683594,,,,,,,,,,,,,
2024-11-18,,SPOT,,,,,,,,454.3599853515625,,,,,,,,,,,,,,
2024-11-18,,SPY,,,,,,,582.6964721679688,,,,,,,,,,,,,,,
2024-11-18,,TSLA,,,,,338.739990234375,,,,,,,,,,,,,,,,,
2024-11-18,,YPF,,,,,,,,,,,,,,,,,,,,,,34.939998626708984
2024-11-19,,AAPL,227.73065185546875,,,,,,,,,,,,,,,,,,,,,
2024-11-19,,AMZN,,,,204.61000061035156,,,,,,,,,,,,,,,,,,
2024-11-19,,AVGO,,,,,,,,,,,,,,,,,,,,,164.0245819091797,
2024-11-19,,BRK-B,,,,,,,,,,,,,468.8599853515625,,,,,,,,,
2024-11-19,,COIN,,,,,,,,,,,,,,,,,,324.57000732421875,,,,
2024-11-19,,DIA,,,,,,,,,,,428.2090759277344,,,,,,,,,,,
2024-11-19,,GGAL,,,,,,,,,,,,,,,,56.75914764404297,,,,,,
2024-11-19,,GOOG,,,178.957275390625,,,,,,,,,,,,,,,,,,,
2024-11-19,,HUT,,,,,,,,,,,,,,,,,25.31999969482422,,,,,
2024-11-19,,KO,,,,,,,,,,61.22846603393555,,,,,,,,,,,,
2024-11-19,,META,,,,,,,,,,,,559.7088012695312,,,,,,,,,,
2024-11-19,,MRVL,,,,,,,,,,,,,,,,,,,89.19332122802734,,,
2024-11-19,,MSTR,,,,,,430.5400085449219,,,,,,,,,,,,,,,,
2024-11-19,146.97613525390625,NVDA,,,,,,,,,,,,,,,,,,,,,,
2024-11-19,,PAM,,79.41000366210938,,,,,,,,,,,,,,,,,,,,
2024-11-19,,PEP,,,,,,,,,,,,,,,152.36312866210938,,,,,,,
2024-11-19,,PFE,,,,,,,,,,,,,,,,,,,,24.22956085205078,,
2024-11-19,,PLTR,,,,,,,,,,,,,,62.97999954223633,,,,,,,,
2024-11-19,,QQQ,,,,,,,,,501.3379821777344,,,,,,,,,,,,,
2024-11-19,,SPOT,,,,,,,,463.8299865722656,,,,,,,,,,,,,,
2024-11-19,,SPY,,,,,,,584.8264770507812,,,,,,,,,,,,,,,
2024-11-19,,TSLA,,,,,346.0,,,,,,,,,,,,,,,,,
2024-11-19,,YPF,,,,,,,,,,,,,,,,,,,,,,35.54999923706055
2024-11-20,,AAPL,228.44891357421875,,,,,,,,,,,,,,,,,,,,,
2024-11-20,,AMZN,,,,202.8800048828125,,,,,,,,,,,,,,,,,,
2024-11-20,,AVGO,,,,,,,,,,,,,,,,,,,,,161.94142150878906,
2024-11-20,,BRK-B,,,,,,,,,,,,,468.8299865722656,,,,,,,,,
2024-11-20,,COIN,,,,,,,,,,,,,,,,,,320.010009765625,,,,
2024-11-20,,DIA,,,,,,,,,,,429.64361572265625,,,,,,,,,,,
2024-11-20,,GGAL,,,,,,,,,,,,,,,,57.38615417480469,,,,,,
2024-11-20,,GOOG,,,176.71507263183594,,,,,,,,,,,,,,,,,,,
2024-11-20,,HUT,,,,,,,,,,,,,,,,,24.459999084472656,,,,,
2024-11-20,,KO,,,,,,,,,,61.61976623535156,,,,,,,,,,,,
2024-11-20,,META,,,,,,,,,,,,564.1278686523438,,,,,,,,,,
2024-11-20,,MRVL,,,,,,,,,,,,,,,,,,,89.71247100830078,,,
2024-11-20,,MSTR,,,,,,473.8299865722656,,,,,,,,,,,,,,,,
2024-11-20,145.8563995361328,NVDA,,,,,,,,,,,,,,,,,,,,,,
2024-11-20,,PAM,,81.88999938964844,,,,,,,,,,,,,,,,,,,,
2024-11-20,,PEP,,,,,,,,,,,,,,,154.3269805908203,,,,,,,
2024-11-20,,PFE,,,,,,,,,,,,,,,,,,,,24.075109481811523,,
2024-11-20,,PLTR,,,,,,,,,,,,,,62.119998931884766,,,,,,,,
2024-11-20,,QQQ,,,,,,,,,501.0491943359375,,,,,,,,,,,,,
2024-11-20,,SPOT,,,,,,,,470.010009765625,,,,,,,,,,,,,,
2024-11-20,,SPY,,,,,,,585.024658203125,,,,,,,,,,,,,,,
2024-11-20,,TSLA,,,,,342.0299987792969,,,,,,,,,,,,,,,,,
2024-11-20,,YPF,,,,,,,,,,,,,,,,,,,,,,37.16999816894531
2024-11-21,,AAPL,227.97007751464844,,,,,,,,,,,,,,,,,,,,,
2024-11-21,,AMZN,,,,198.3800048828125,,,,,,,,,,,,,,,,,,
2024-11-21,,AVGO,,,,,,,,,,,,,,,,,,,,,162.62588500976562,
2024-11-21,,BRK-B,,,,,,,,,,,,,472.05999755859375,,,,,,,,,
2024-11-21,,COIN,,,,,,,,,,,,,,,,,,295.2300109863281,,,,
2024-11-21,,DIA,,,,,,,,,,,434.2735595703125,,,,,,,,,,,
2024-11-21,,GGAL,,,,,,,,,,,,,,,,55.664371490478516,,,,,,
2024-11-21,,GOOG,,,168.65313720703125,,,,,,,,,,,,,,,,,,,
2024-11-21,,HUT,,,,,,,,,,,,,,,,,23.479999542236328,,,,,
2024-11-21,,KO,,,,,,,,,,62.373016357421875,,,,,,,,,,,,
2024-11-21,,META,,,,,,,,,,,,561.7039184570312,,,,,,,,,,
2024-11-21,,MRVL,,,,,,,,,,,,,,,,,,,92.78741455078125,,,
2024-11-21,,MSTR,,,,,,397.2799987792969,,,,,,,,,,,,,,,,
2024-11-21,146.63623046875,NVDA,,,,,,,,,,,,,,,,,,,,,,
2024-11-21,,PAM,,82.27999877929688,,,,,,,,,,,,,,,,,,,,
2024-11-21,,PEP,,,,,,,,,,,,,,,155.88247680664062,,,,,,,
2024-11-21,,PFE,,,,,,,,,,,,,,,,,,,,24.25851821899414,,
2024-11-21,,PLTR,,,,,,,,,,,,,,61.36000061035156,,,,,,,,
2024-11-21,,QQQ,,,,,,,,,502.8515625,,,,,,,,,,,,,
2024-11-21,,SPOT,,,,,,,,470.70001220703125,,,,,,,,,,,,,,
2024-11-21,,SPY,,,,,,,588.1652221679688,,,,,,,,,,,,,,,
2024-11-21,,TSLA,,,,,339.6400146484375,,,,,,,,,,,,,,,,,
2024-11-21,,YPF,,,,,,,,,,,,,,,,,,,,,,37.470001220703125
2024-11-22,,AAPL,229.3168182373047,,,,,,,,,,,,,,,,,,,,,
2024-11-22,,AMZN,,,,197.1199951171875,,,,,,,,,,,,,,,,,,
2024-11-22,,AVGO,,,,,,,,,,,,,,,,,,,,,162.91355895996094,
2024-11-22,,BRK-B,,,,,,,,,,,,,476.57000732421875,,,,,,,,,
2024-11-22,,COIN,,,,,,,,,,,,,,,,,,304.6400146484375,,,,
2024-11-22,,DIA,,,,,,,,,,,438.4187316894531,,,,,,,,,,,
2024-11-22,,GGAL,,,,,,,,,,,,,,,,55.21650695800781,,,,,,
2024-11-22,,GOOG,,,165.99237060546875,,,,,,,,,,,,,,,,,,,
2024-11-22,,HUT,,,,,,,,,,,,,,,,,25.920000076293945,,,,,
2024-11-22,,KO,,,,,,,,,,62.529537200927734,,,,,,,,,,,,
