Ticker,Mes,Precio_Inicial,Precio_Final,Rendimiento,Inflacion_Mensual,Le_Gano_A_Inflacion,Rendimiento_Acumulado_2024,Inflacion_Acumulada_2024
HUT,2024-06-01,387.51104,674.5899733333333,74.08,4.6,True,110.6,119.83
HUT,2024-07-01,717.8988333333333,627.00192,-12.66,3.9,False,110.6,119.83
HUT,2024-08-01,603.3712,437.69897,-27.46,3.6,False,110.6,119.83
HUT,2024-09-01,394.7787,508.27508,28.75,3.4,True,110.6,119.83
HUT,2024-10-01,480.2563466666667,609.46242,26.9,3.3,True,110.6,119.83
HUT,2024-11-01,628.3791600000001,1036.68396,64.98,3.2,True,110.6,119.83
HUT,2024-12-01,950.2653533333336,851.0288100000001,-10.44,3.1,False,110.6,119.83
KO,2024-01-01,11405.20484,14213.051,24.62,20.6,True,7.49,119.83
KO,2024-02-01,14934.81888,12305.60386,-17.6,13.2,False,7.49,119.83
KO,2024-03-01,12412.3506,12806.9172,3.18,11.0,False,7.49,119.83
KO,2024-04-01,12702.69,13005.1245,2.38,8.8,False,7.49,119.83
KO,2024-05-01,13040.066900000002,15136.194280000002,16.07,4.2,True,7.49,119.83
KO,2024-06-01,15743.50098,16697.78944,6.06,4.6,True,7.49,119.83
KO,2024-07-01,17365.14896,16661.805119999997,-4.05,3.9,False,7.49,119.83
KO,2024-08-01,17197.38144,18289.842419999997,6.35,3.6,True,7.49,119.83
KO,2024-09-01,18485.5452,17486.984399999998,-5.4,3.4,False,7.49,119.83
KO,2024-10-01,17486.1502,14796.157320000002,-15.38,3.3,False,7.49,119.83
KO,2024-11-01,14968.1328,14020.76208,-6.33,3.2,False,7.49,119.83
KO,2024-12-01,13795.522160000002,14513.78004,5.21,3.1,True,7.49,119.83
META,2024-01-01,11441.0828,16153.502983333334,41.19,20.6,True,49.65,119.83
META,2024-02-01,16757.710153333333,17432.40293666667,4.03,13.2,False,49.65,119.83
META,2024-03-01,18169.103183333333,17495.693600000002,-3.71,11.0,False,49.65,119.83
META,2024-04-01,17703.7861,15588.678199999998,-11.95,8.8,False,49.65,119.83
META,2024-05-01,15915.535233333334,19325.862253333333,21.43,4.2,True,49.65,119.83
META,2024-06-01,20560.14211,22613.84,9.99,4.6,True,49.65,119.83
META,2024-07-01,23677.009653333334,20266.63788,-14.4,3.9,False,49.65,119.83
META,2024-08-01,21532.10432,22492.35864333333,4.46,3.6,True,49.65,119.83
META,2024-09-01,22149.7343,23673.76174,6.88,3.4,True,49.65,119.83
META,2024-10-01,23890.260566666664,21853.41564,-8.53,3.3,False,49.65,119.83
META,2024-11-01,22191.747413333334,21196.52418,-4.48,3.2,False,49.65,119.83
META,2024-12-01,21672.133513333338,23353.243393333338,7.76,3.1,True,49.65,119.83
MRVL,2024-01-01,19207.996733333333,28043.090666666667,46.0,20.6,True,96.39,119.83
MRVL,2024-02-01,28399.715600000007,25475.0221,-10.3,13.2,False,96.39,119.83
MRVL,2024-03-01,28058.946166666672,25524.807,-9.03,11.0,False,96.39,119.83
MRVL,2024-04-01,26360.796,23891.866,-9.37,8.8,False,96.39,119.83
MRVL,2024-05-01,23134.78066666667,28495.23086666667,23.17,4.2,True,96.39,119.83
MRVL,2024-06-01,29379.0457,31326.356266666666,6.63,4.6,True,96.39,119.83
MRVL,2024-07-01,33286.968199999996,28591.9728,-14.1,3.9,False,96.39,119.83
MRVL,2024-08-01,27281.928,32898.857299999996,20.59,3.6,True,96.39,119.83
MRVL,2024-09-01,30309.79700000001,29800.0104,-1.68,3.4,False,96.39,119.83
MRVL,2024-10-01,29114.5024,30843.6618,5.94,3.3,True,96.39,119.83
MRVL,2024-11-01,33168.37813333334,34208.3508,3.14,3.2,False,96.39,119.83
MRVL,2024-12-01,35408.65346666667,44070.710900000005,24.46,3.1,True,96.39,119.83
MSTR,2024-01-01,3413.887555,3129.8687,-8.32,20.6,False,465.26,119.83
MSTR,2024-02-01,3223.45735,5480.82722,70.03,13.2,True,465.26,119.83
MSTR,2024-03-01,5882.460150000001,9253.4211,57.31,11.0,True,465.26,119.83
MSTR,2024-04-01,8884.82595,5814.63375,-34.56,8.8,False,465.26,119.83
MSTR,2024-05-01,5614.2609250000005,9508.45895,69.36,4.2,True,465.26,119.83
MSTR,2024-06-01,10557.513390000002,9298.676,-11.92,4.6,False,465.26,119.83
MSTR,2024-07-01,9645.7358,10371.22848,7.52,3.9,True,465.26,119.83
MSTR,2024-08-01,9843.63216,8599.421009999998,-12.64,3.6,False,465.26,119.83
MSTR,2024-09-01,7968.5364,10484.7282,31.58,3.4,True,465.26,119.83
MSTR,2024-10-01,10138.35273,14155.8165,39.63,3.3,True,465.26,119.83
MSTR,2024-11-01,13515.44727,21503.42259,59.1,3.2,True,465.26,119.83
MSTR,2024-12-01,20905.4713,17979.61564,-14.0,3.1,False,465.26,119.83
NVDA,2024-01-01,4798.67715,7681.0425,60.07,20.6,True,225.03,119.83
NVDA,2024-02-01,8066.646000000001,8475.24084,5.07,13.2,False,225.03,119.83
NVDA,2024-03-01,8963.7488,9806.0424,9.4,11.0,False,225.03,119.83
NVDA,2024-04-01,9807.1281,9431.172150000002,-3.83,8.8,False,225.03,119.83
NVDA,2024-05-01,9064.27695,13670.475780000002,50.82,4.2,True,225.03,119.83
NVDA,2024-06-01,14914.41765,16673.488,11.79,4.6,True,225.03,119.83
NVDA,2024-07-01,17548.74276,15030.05832,-14.35,3.9,False,225.03,119.83
NVDA,2024-08-01,14217.85632,15498.699729999998,9.01,3.6,True,225.03,119.83
NVDA,2024-09-01,14067.411300000002,15100.247339999998,7.34,3.4,True,225.03,119.83
NVDA,2024-10-01,14578.438979999995,15369.33762,5.43,3.3,True,225.03,119.83
NVDA,2024-11-01,15929.529380000002,15341.59068,-3.69,3.2,False,225.03,119.83
NVDA,2024-12-01,15237.9612,16316.72671,7.08,3.1,True,225.03,119.83
PAM,2024-01-01,1922.261368,2432.9546,26.57,20.6,True,88.99,119.83
PAM,2024-02-01,2518.330056,1801.363784,-28.47,13.2,False,88.99,119.83
PAM,2024-03-01,1861.19862,1873.48392,0.66,11.0,False,88.99,119.83
PAM,2024-04-01,1854.80988,1937.99286,4.48,8.8,False,88.99,119.83
PAM,2024-05-01,1982.54442,2462.40708,24.2,4.2,True,88.99,119.83
PAM,2024-06-01,2462.5980600000003,2390.181632,-2.94,4.6,False,88.99,119.83
PAM,2024-07-01,2411.575176,2334.811248,-3.18,3.9,False,88.99,119.83
PAM,2024-08-01,2358.617088,2827.249608,19.87,3.6,True,88.99,119.83
PAM,2024-09-01,2859.08376,2986.9659840000004,4.47,3.4,True,88.99,119.83
PAM,2024-10-01,3042.565208,3100.0369680000003,1.89,3.3,False,88.99,119.83
PAM,2024-11-01,3107.5349919999994,3799.9905840000006,22.28,3.2,True,88.99,119.83
PAM,2024-12-01,3822.9032240000006,4166.599072000001,8.99,3.1,True,88.99,119.83
